blocktime,amount
1516709275,100000000.0
1516413419,100000000.0
1516367291,100000000.0
1516291320,100000000.0
1516216733,100000000.0
1516141373,100000000.0
1516021359,100000000.0
1515954462,50000000.0
1515078034,100000000.0
1514565384,100000000.0
1514423690,50000000.0
1513768726,50000000.0
1513688988,50000000.0
1513424094,50000000.0
1513424094,50000000.0
1513267743,55000000.0
1513256866,25000000.0
1513246645,25000000.0
1513246645,25000000.0
1513192538,25000000.0
1513172570,25000000.0
1512955737,25000000.0
1512220284,25000000.0
1512172220,25000000.0
1511975997,24999000.0
1511880077,25000000.0
1511870573,20000000.0
1511782337,20000000.0
1511781567,10000000.0
1511740144,10000000.0
1511738188,10000000.0
1511721333,1000.0
1510946733,30000000.0
1510920464,30000000.0
1510851865,20000000.0
1510181678,20000000.0
1510093123,20000000.0
1509742213,25048400.0
1509213702,25000000.0
1505422747,25000000.0
1504782138,25000000.0
1504571946,25000000.0
1504445701,25000000.0
1504365850,20000000.0
1500376535,25000000.0
1499983834,25000000.0
1499731868,30000000.0
1498592796,30000000.0
1498492773,30000000.0
1498342535,20000000.0
1497642369,20000000.0
1496771039,20000000.0
1495913465,10000000.0
1495899140,10000000.0
1495835320,10000000.0
1495835320,10000000.0
1495736299,10000000.0
1495632421,10000000.0
1492515587,10000000.0
1490813384,10000000.0
1489743182,10000000.0
1488894685,10000000.0
1485883728,10000000.0
1483641542,5000000.0
1483140129,3000000.0
1468347088,1000000.0
1465930967,2000000.0
1465930948,1000000.0
1464800569,1000000.0
1461885701,500000.0
1452049855,500000.0
1449003673,500000.0
1431971331,200000.0
1420770542,200000.0
1420769136,50000.0
1420661514,1500.0
1412621645,100.0
